Faculty Code,ratio inside faculty,faculty ratio,ratio overall,ratio lower bound,ratio upper bound,expected tuition
APSC_D,0.7258,0.12,0.0871,0.0827,0.0915,7158.46
APSC_I,0.2742,0.12,0.0329,0.0313,0.0345,50838.74
ARTS_D,0.6866,0.32,0.2197,0.2087,0.2307,5506.8
ARTS_I,0.3134,0.32,0.1003,0.0953,0.1053,39573.6
COMM_D,0.697,0.12,0.0836,0.0795,0.0878,7496.7
COMM_I,0.303,0.12,0.0364,0.0345,0.0382,51206.4
DENT_D,0.9869,0.01,0.0099,0.0094,0.0104,6057.48
DENT_I,0.0131,0.01,0.0001,0.0001,0.0001,44841.72
EDUC_D,0.9416,0.06,0.0565,0.0537,0.0593,12264.6
EDUC_I,0.0584,0.06,0.0035,0.0033,0.0037,52952.4
FRST_D,0.5521,0.03,0.0166,0.0157,0.0174,5947.34
FRST_I,0.4479,0.03,0.0134,0.0128,0.0141,44026.42
LFS_D,0.7136,0.04,0.0285,0.0271,0.03,5873.92
LFS_I,0.2864,0.04,0.0115,0.0109,0.012,43482.88
LAW_D,0.9782,0.01,0.0098,0.0093,0.0103,12891.84
LAW_I,0.0218,0.01,0.0002,0.0002,0.0002,37360
MEDI_D,0.9941,0.03,0.0298,0.0283,0.0313,6302.23
MEDI_I,0.0059,0.03,0.0002,0.0002,0.0002,46281.24
NONE_D,0.8886,0.03,0.0267,0.0253,0.028,7319.36
NONE_I,0.1114,0.03,0.0033,0.0032,0.0035,45465.95
PHAR_D,0.9958,0.02,0.0199,0.0189,0.0209,5506.8
PHAR_I,0.0042,0.02,0.0001,0.0001,0.0001,40765.2
SCIE_D,0.7854,0.2,0.1571,0.1492,0.1649,5506.8
SCIE_I,0.2146,0.2,0.0429,0.0408,0.0451,40765.2
VANT_D,0.003,0.01,0,0,0,0
VANT_I,0.997,0.01,0.01,0.0095,0.0105,53497.55
